"No.","Time","Source","Destination","Protocol","Length","Info"
"631","222.394799673","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"632","223.639715735","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0003 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"633","223.947986057","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"634","223.950115350","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"637","230.090949007","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"639","230.398147859","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"640","230.705344384","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"650","239.000511346","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"651","239.307710003","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"652","239.309647945","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"653","239.614940915","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"654","239.617037986","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"655","239.619147159","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"656","239.922411901","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"657","239.924733748","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"658","240.228508234","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"660","240.230388800","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"661","240.535707797","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"664","242.378644592","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0014 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"665","242.687051115","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"666","243.607635600","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0004 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"667","243.915907764","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"668","243.918006189","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"682","250.058874820","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"684","250.366068307","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"685","250.512991022","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"694","259.275631981","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"695","259.277469794","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"696","259.279416898","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"697","259.582836194","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"698","259.585018024","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"700","259.890288176","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"701","259.892460702","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"702","259.894614506","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"703","260.196426408","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"705","260.503621970","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"706","260.810846845","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"708","262.346566713","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0015 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"709","262.654950081","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"711","263.575558695","192.168.1.47","224.0.0.251","MDNS","152","Standard query 0x0005 PTR _37F83649._sub._googlecast._tcp.local, ""QM"" question PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"712","263.883828291","192.168.1.34","224.0.0.251","MDNS","420","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"713","263.885931343","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"717","270.333987274","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"719","270.335823929","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"720","270.641183979","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"732","277.489617495","192.168.1.46","80.58.61.254","DNS","85","Standard query 0x64b0 PTR 47.1.168.192.in-addr.arpa"
"733","277.537369841","80.58.61.254","192.168.1.46","DNS","162","Standard query response 0x64b0 No such name PTR 47.1.168.192.in-addr.arpa SOA prisoner.iana.org"
"738","278.630059306","192.168.1.46","192.168.1.47","UDP","42","56316  >  1813 Len=0"
"739","278.630085280","192.168.1.46","192.168.1.47","UDP","42","56316  >  49171 Len=0"
"740","278.630098302","192.168.1.46","192.168.1.47","UDP","42","56316  >  22996 Len=0"
"741","278.630108652","192.168.1.46","192.168.1.47","UDP","42","56316  >  16919 Len=0"
"742","278.630116250","192.168.1.46","192.168.1.47","UDP","42","56316  >  162 Len=0"
"743","278.630122998","192.168.1.46","192.168.1.47","UDP","42","56316  >  53571 Len=0"
"744","278.630129622","192.168.1.46","192.168.1.47","UDP","42","56316  >  20019 Len=0"
"745","278.630136791","192.168.1.46","192.168.1.47","UDP","42","56316  >  688 Len=0"
"746","278.630143299","192.168.1.46","192.168.1.47","UDP","42","56316  >  18683 Len=0"
"747","278.630149577","192.168.1.46","192.168.1.47","UDP","42","56316  >  1035 Len=0"
"750","279.243564940","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"751","279.245392836","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"752","279.247349000","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"753","279.329682300","192.168.1.46","192.168.1.47","UDP","42","56317  >  1035 Len=0"
"754","279.329739474","192.168.1.46","192.168.1.47","UDP","42","56317  >  18683 Len=0"
"755","279.329773718","192.168.1.46","192.168.1.47","UDP","42","56317  >  688 Len=0"
"756","279.329802076","192.168.1.46","192.168.1.47","UDP","42","56317  >  20019 Len=0"
"757","279.329826516","192.168.1.46","192.168.1.47","UDP","42","56317  >  53571 Len=0"
"758","279.329850794","192.168.1.46","192.168.1.47","UDP","42","56317  >  162 Len=0"
"759","279.329873948","192.168.1.46","192.168.1.47","UDP","42","56317  >  16919 Len=0"
"760","279.329912110","192.168.1.46","192.168.1.47","UDP","42","56317  >  22996 Len=0"
"761","279.329939866","192.168.1.46","192.168.1.47","UDP","42","56317  >  49171 Len=0"
"762","279.329963896","192.168.1.46","192.168.1.47","UDP","42","56317  >  1813 Len=0"
"763","279.550783319","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"764","279.552926920","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"765","279.858185202","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"766","279.860385616","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"767","279.862567797","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"768","280.088651026","192.168.1.46","192.168.1.47","UDP","42","56316  >  19504 Len=0"
"769","280.088707628","192.168.1.46","192.168.1.47","UDP","42","56316  >  21742 Len=0"
"770","280.088741064","192.168.1.46","192.168.1.47","UDP","42","56316  >  1900 Len=0"
"771","280.088769756","192.168.1.46","192.168.1.47","UDP","42","56316  >  31189 Len=0"
"772","280.088794546","192.168.1.46","192.168.1.47","UDP","42","56316  >  20445 Len=0"
"773","280.088817843","192.168.1.46","192.168.1.47","UDP","42","56316  >  2160 Len=0"
"774","280.088904028","192.168.1.46","192.168.1.47","UDP","42","56316  >  21674 Len=0"
"775","280.088949310","192.168.1.46","192.168.1.47","UDP","42","56316  >  41702 Len=0"
"776","280.088976540","192.168.1.46","192.168.1.47","UDP","42","56316  >  37843 Len=0"
"777","280.088999288","192.168.1.46","192.168.1.47","UDP","42","56316  >  5500 Len=0"
"778","280.164344318","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"780","280.471543106","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"781","280.519752801","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"782","280.519774279","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"783","280.519810354","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"784","280.519830648","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"785","280.519846201","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"786","280.522169559","192.168.1.46","192.168.1.47","UDP","42","56316  >  664 Len=0"
"787","280.522222386","192.168.1.46","192.168.1.47","UDP","42","56316  >  30303 Len=0"
"788","280.522252330","192.168.1.46","192.168.1.47","UDP","42","56316  >  1057 Len=0"
"789","280.522279293","192.168.1.46","192.168.1.47","UDP","42","56316  >  39723 Len=0"
"790","280.522302071","192.168.1.46","192.168.1.47","UDP","42","56316  >  17845 Len=0"
"791","280.522325037","192.168.1.46","192.168.1.47","SRVLOC","96","Service Request, V2 XID - 1"
"792","280.522346361","192.168.1.46","192.168.1.47","UDP","42","56316  >  689 Len=0"
"793","280.522394151","192.168.1.46","192.168.1.47","UDP","42","56316  >  17762 Len=0"
"794","280.522419121","192.168.1.46","192.168.1.47","UDP","42","56316  >  29256 Len=0"
"795","280.522440256","192.168.1.46","192.168.1.47","UDP","42","56316  >  28122 Len=0"
"796","280.522460944","192.168.1.46","192.168.1.47","UDP","42","56316  >  49205 Len=0"
"797","280.522481756","192.168.1.46","192.168.1.47","UDP","42","56316  >  49360 Len=0"
"798","280.522502614","192.168.1.46","192.168.1.47","UDP","42","56316  >  49170 Len=0"
"799","280.522523385","192.168.1.46","192.168.1.47","UDP","42","56316  >  17091 Len=0"
"800","280.522544731","192.168.1.46","192.168.1.47","UDP","42","56316  >  21655 Len=0"
"801","280.522566046","192.168.1.46","192.168.1.47","UDP","42","56316  >  27015 Len=0"
"802","280.522587171","192.168.1.46","192.168.1.47","UDP","42","56316  >  11487 Len=0"
"803","280.522608389","192.168.1.46","192.168.1.47","UDP","42","56316  >  434 Len=0"
"804","280.522630554","192.168.1.46","192.168.1.47","UDP","42","56316  >  21060 Len=0"
"805","280.522659942","192.168.1.46","192.168.1.47","UDP","42","56316  >  464 Len=0"
"806","280.522682205","192.168.1.46","192.168.1.47","UDP","42","56316  >  49173 Len=0"
"807","280.522704664","192.168.1.46","192.168.1.47","UDP","42","56316  >  48255 Len=0"
"808","280.522725803","192.168.1.46","192.168.1.47","UDP","42","56316  >  51690 Len=0"
"809","280.522747003","192.168.1.46","192.168.1.47","UDP","42","56316  >  51972 Len=0"
"810","280.522768149","192.168.1.46","192.168.1.47","UDP","42","56316  >  18258 Len=0"
"811","280.522789428","192.168.1.46","192.168.1.47","UDP","42","56316  >  62699 Len=0"
"812","280.522810823","192.168.1.46","192.168.1.47","UDP","42","56316  >  1064 Len=0"
"813","280.522887165","192.168.1.46","192.168.1.47","UDP","42","56316  >  25337 Len=0"
"814","280.522912282","192.168.1.46","192.168.1.47","UDP","42","56316  >  46093 Len=0"
"815","280.522933372","192.168.1.46","192.168.1.47","UDP","42","56316  >  28493 Len=0"
"816","280.522954042","192.168.1.46","192.168.1.47","UDP","42","56316  >  49209 Len=0"
"817","280.522974865","192.168.1.46","192.168.1.47","UDP","42","56316  >  16498 Len=0"
"818","280.522995418","192.168.1.46","192.168.1.47","UDP","42","56316  >  49200 Len=0"
"819","280.523016223","192.168.1.46","192.168.1.47","UDP","42","56316  >  26407 Len=0"
"820","280.523036790","192.168.1.46","192.168.1.47","UDP","42","56316  >  49193 Len=0"
"821","280.523058505","192.168.1.46","192.168.1.47","UDP","42","56316  >  22053 Len=0"
"822","280.523079824","192.168.1.46","192.168.1.47","UDP","42","56316  >  21364 Len=0"
"823","280.523101956","192.168.1.46","192.168.1.47","UDP","42","56316  >  57977 Len=0"
"824","280.523122780","192.168.1.46","192.168.1.47","UDP","42","56316  >  17417 Len=0"
"825","280.523143885","192.168.1.46","192.168.1.47","UDP","42","56316  >  42627 Len=0"
"826","280.523172795","192.168.1.46","192.168.1.47","UDP","42","56316  >  17018 Len=0"
"827","280.523194863","192.168.1.46","192.168.1.47","UDP","42","56316  >  19687 Len=0"
"828","280.523216028","192.168.1.46","192.168.1.47","UDP","42","56316  >  20146 Len=0"
"829","280.523237254","192.168.1.46","192.168.1.47","UDP","42","56316  >  515 Len=0"
"830","280.523258472","192.168.1.46","192.168.1.47","UDP","42","56316  >  21282 Len=0"
"831","280.523279653","192.168.1.46","192.168.1.47","UDP","42","56316  >  18360 Len=0"
"832","280.523300773","192.168.1.46","192.168.1.47","UDP","42","56316  >  1457 Len=0"
"833","280.523382650","192.168.1.46","192.168.1.47","UDP","42","56316  >  1008 Len=0"
"834","280.523407473","192.168.1.46","192.168.1.47","UDP","42","56316  >  18449 Len=0"
"835","280.523428481","192.168.1.46","192.168.1.47","UDP","42","56316  >  16680 Len=0"
"836","281.151544356","192.168.1.46","192.168.1.47","UDP","42","56317  >  37843 Len=0"
"837","281.151601819","192.168.1.46","192.168.1.47","UDP","42","56317  >  21674 Len=0"
"838","281.151635920","192.168.1.46","192.168.1.47","UDP","42","56317  >  2160 Len=0"
"839","281.151664296","192.168.1.46","192.168.1.47","UDP","42","56317  >  20445 Len=0"
"840","281.151687973","192.168.1.46","192.168.1.47","UDP","42","56317  >  31189 Len=0"
"841","281.151711037","192.168.1.46","192.168.1.47","UDP","42","56317  >  21742 Len=0"
"842","281.584790864","192.168.1.46","192.168.1.47","UDP","42","56317  >  49173 Len=0"
"843","281.584877710","192.168.1.46","192.168.1.47","UDP","42","56317  >  464 Len=0"
"844","281.584912320","192.168.1.46","192.168.1.47","UDP","42","56317  >  21060 Len=0"
"845","281.584939211","192.168.1.46","192.168.1.47","UDP","42","56317  >  434 Len=0"
"846","281.584961621","192.168.1.46","192.168.1.47","UDP","42","56317  >  11487 Len=0"
"847","281.584983647","192.168.1.46","192.168.1.47","UDP","42","56317  >  27015 Len=0"
"848","281.585007001","192.168.1.46","192.168.1.47","UDP","42","56317  >  21655 Len=0"
"849","281.585034618","192.168.1.46","192.168.1.47","UDP","42","56317  >  17091 Len=0"
"850","281.585060268","192.168.1.46","192.168.1.47","UDP","42","56317  >  49170 Len=0"
"851","281.585089535","192.168.1.46","192.168.1.47","UDP","42","56317  >  49360 Len=0"
"852","281.585111099","192.168.1.46","192.168.1.47","UDP","42","56317  >  49205 Len=0"
"853","281.585132806","192.168.1.46","192.168.1.47","UDP","42","56317  >  28122 Len=0"
"854","281.585154269","192.168.1.46","192.168.1.47","UDP","42","56317  >  29256 Len=0"
"855","281.585175487","192.168.1.46","192.168.1.47","UDP","42","56317  >  17762 Len=0"
"856","281.585196784","192.168.1.46","192.168.1.47","UDP","42","56317  >  689 Len=0"
"857","281.585218529","192.168.1.46","192.168.1.47","SRVLOC","96","Service Request, V2 XID - 1"
"858","281.585239893","192.168.1.46","192.168.1.47","UDP","42","56317  >  17845 Len=0"
"859","281.585261687","192.168.1.46","192.168.1.47","UDP","42","56317  >  39723 Len=0"
"860","281.585283412","192.168.1.46","192.168.1.47","UDP","42","56317  >  1057 Len=0"
"861","281.585305082","192.168.1.46","192.168.1.47","UDP","42","56317  >  30303 Len=0"
"862","281.585326574","192.168.1.46","192.168.1.47","UDP","42","56317  >  664 Len=0"
"863","281.587606613","192.168.1.46","192.168.1.47","UDP","42","56317  >  16680 Len=0"
"864","281.587650267","192.168.1.46","192.168.1.47","UDP","42","56317  >  18449 Len=0"
"865","281.587680324","192.168.1.46","192.168.1.47","UDP","42","56317  >  1008 Len=0"
"866","281.587705741","192.168.1.46","192.168.1.47","UDP","42","56317  >  1457 Len=0"
"867","281.587727422","192.168.1.46","192.168.1.47","UDP","42","56317  >  18360 Len=0"
"868","281.587748606","192.168.1.46","192.168.1.47","UDP","42","56317  >  21282 Len=0"
"869","281.587769693","192.168.1.46","192.168.1.47","UDP","42","56317  >  515 Len=0"
"870","281.587790422","192.168.1.46","192.168.1.47","UDP","42","56317  >  20146 Len=0"
"871","281.587819295","192.168.1.46","192.168.1.47","UDP","42","56317  >  19687 Len=0"
"872","281.587845261","192.168.1.46","192.168.1.47","UDP","42","56317  >  17018 Len=0"
"873","281.587866716","192.168.1.46","192.168.1.47","UDP","42","56317  >  42627 Len=0"
"874","281.587893818","192.168.1.46","192.168.1.47","UDP","42","56317  >  17417 Len=0"
"875","281.587916307","192.168.1.46","192.168.1.47","UDP","42","56317  >  57977 Len=0"
"876","281.587937653","192.168.1.46","192.168.1.47","UDP","42","56317  >  21364 Len=0"
"877","281.587959029","192.168.1.46","192.168.1.47","UDP","42","56317  >  22053 Len=0"
"878","281.587980386","192.168.1.46","192.168.1.47","UDP","42","56317  >  49193 Len=0"
"879","281.588001849","192.168.1.46","192.168.1.47","UDP","42","56317  >  26407 Len=0"
"880","281.588023345","192.168.1.46","192.168.1.47","UDP","42","56317  >  49200 Len=0"
"881","281.588045071","192.168.1.46","192.168.1.47","UDP","42","56317  >  16498 Len=0"
"882","281.588066695","192.168.1.46","192.168.1.47","UDP","42","56317  >  49209 Len=0"
"883","281.588117372","192.168.1.46","192.168.1.47","UDP","42","56317  >  28493 Len=0"
"884","281.588143090","192.168.1.46","192.168.1.47","UDP","42","56317  >  46093 Len=0"
"885","281.588164639","192.168.1.46","192.168.1.47","UDP","42","56317  >  25337 Len=0"
"886","281.588185861","192.168.1.46","192.168.1.47","UDP","42","56317  >  1064 Len=0"
"887","281.588207846","192.168.1.46","192.168.1.47","UDP","42","56317  >  62699 Len=0"
"888","281.588229252","192.168.1.46","192.168.1.47","UDP","42","56317  >  18258 Len=0"
"889","281.588251294","192.168.1.46","192.168.1.47","UDP","42","56317  >  51972 Len=0"
"890","281.588276719","192.168.1.46","192.168.1.47","UDP","42","56317  >  51690 Len=0"
"891","281.588300027","192.168.1.46","192.168.1.47","UDP","42","56317  >  48255 Len=0"
"892","281.837087211","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"895","282.314483864","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0016 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"896","282.622888225","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"898","283.850679006","192.168.1.43","224.0.0.251","MDNS","154","Standard query 0x0000 PTR _homekit._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"899","283.851834544","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","174","Standard query 0x0000 PTR _homekit._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"900","283.923933379","192.168.1.46","192.168.1.47","UDP","42","56318  >  48255 Len=0"
"901","283.923990462","192.168.1.46","192.168.1.47","UDP","42","56318  >  51690 Len=0"
"902","283.924021838","192.168.1.46","192.168.1.47","UDP","42","56318  >  51972 Len=0"
"903","283.924048733","192.168.1.46","192.168.1.47","UDP","42","56318  >  18258 Len=0"
"904","283.924070906","192.168.1.46","192.168.1.47","UDP","42","56318  >  62699 Len=0"
"905","283.924093139","192.168.1.46","192.168.1.47","UDP","42","56318  >  1064 Len=0"
"906","283.924114857","192.168.1.46","192.168.1.47","UDP","42","56318  >  25337 Len=0"
"907","283.924148132","192.168.1.46","192.168.1.47","UDP","42","56318  >  46093 Len=0"
"908","283.924173730","192.168.1.46","192.168.1.47","UDP","42","56318  >  28493 Len=0"
"909","283.924195433","192.168.1.46","192.168.1.47","UDP","42","56318  >  49209 Len=0"
"910","283.924216734","192.168.1.46","192.168.1.47","UDP","42","56318  >  16498 Len=0"
"911","283.924238494","192.168.1.46","192.168.1.47","UDP","42","56318  >  49200 Len=0"
"912","283.924260411","192.168.1.46","192.168.1.47","UDP","42","56318  >  26407 Len=0"
"913","283.924281836","192.168.1.46","192.168.1.47","UDP","42","56318  >  49193 Len=0"
"914","283.924304020","192.168.1.46","192.168.1.47","UDP","42","56318  >  22053 Len=0"
"915","283.924325964","192.168.1.46","192.168.1.47","UDP","42","56318  >  21364 Len=0"
"916","283.924355295","192.168.1.46","192.168.1.47","UDP","42","56318  >  57977 Len=0"
"919","284.665070635","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"920","284.665115579","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"921","284.665134846","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"923","284.773343818","192.168.1.43","224.0.0.251","MDNS","214","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"924","284.774778384","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","234","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"926","286.649357922","192.168.1.46","192.168.1.47","UDP","42","56319  >  57977 Len=0"
"927","286.649416332","192.168.1.46","192.168.1.47","UDP","42","56319  >  21364 Len=0"
"928","286.649446047","192.168.1.46","192.168.1.47","UDP","42","56319  >  49193 Len=0"
"929","286.649471284","192.168.1.46","192.168.1.47","UDP","42","56319  >  26407 Len=0"
"930","286.649492321","192.168.1.46","192.168.1.47","UDP","42","56319  >  49200 Len=0"
"931","286.649512987","192.168.1.46","192.168.1.47","UDP","42","56319  >  16498 Len=0"
"932","286.649533502","192.168.1.46","192.168.1.47","UDP","42","56319  >  49209 Len=0"
"933","286.649571788","192.168.1.46","192.168.1.47","UDP","42","56319  >  28493 Len=0"
"934","286.649596269","192.168.1.46","192.168.1.47","UDP","42","56319  >  46093 Len=0"
"935","286.649616661","192.168.1.46","192.168.1.47","UDP","42","56319  >  25337 Len=0"
"936","286.649637552","192.168.1.46","192.168.1.47","UDP","42","56319  >  1064 Len=0"
"937","286.649657995","192.168.1.46","192.168.1.47","UDP","42","56319  >  62699 Len=0"
"938","286.649678402","192.168.1.46","192.168.1.47","UDP","42","56319  >  18258 Len=0"
"939","286.649698669","192.168.1.46","192.168.1.47","UDP","42","56319  >  51972 Len=0"
"940","287.332263466","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"941","287.332309233","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"945","287.844490748","192.168.1.43","224.0.0.251","MDNS","214","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"946","287.845933667","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","234","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"948","289.237630965","192.168.1.46","192.168.1.47","UDP","42","56320  >  51972 Len=0"
"949","289.237684590","192.168.1.46","192.168.1.47","UDP","42","56320  >  18258 Len=0"
"950","289.237713627","192.168.1.46","192.168.1.47","UDP","42","56320  >  62699 Len=0"
"951","289.237738575","192.168.1.46","192.168.1.47","UDP","42","56320  >  1064 Len=0"
"952","289.237758883","192.168.1.46","192.168.1.47","UDP","42","56320  >  25337 Len=0"
"953","289.237778891","192.168.1.46","192.168.1.47","UDP","42","56320  >  46093 Len=0"
"954","289.237798737","192.168.1.46","192.168.1.47","UDP","42","56320  >  28493 Len=0"
"955","289.237819639","192.168.1.46","192.168.1.47","UDP","42","56320  >  49209 Len=0"
"956","289.237839376","192.168.1.46","192.168.1.47","UDP","42","56320  >  49200 Len=0"
"957","289.237859538","192.168.1.46","192.168.1.47","UDP","42","56320  >  26407 Len=0"
"958","289.237879238","192.168.1.46","192.168.1.47","UDP","42","56320  >  49193 Len=0"
