"No.","Time","Source","Destination","Protocol","Length","Info"
"7676","522.852230077","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"7677","522.964299464","192.168.1.47","192.168.1.46","ICMP","70","Destination unreachable (Port unreachable)"
"7681","530.224065204","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7683","530.531220424","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7684","530.838428784","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7689","539.133625009","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"7690","539.135508386","192.168.1.1","239.255.255.250","SSDP","367","NOTIFY * HTTP/1.1 "
"7691","539.440856801","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"7692","539.442734239","192.168.1.1","239.255.255.250","SSDP","376","NOTIFY * HTTP/1.1 "
"7693","539.748213838","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"7694","539.750493700","192.168.1.1","239.255.255.250","SSDP","431","NOTIFY * HTTP/1.1 "
"7695","539.752647493","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"7696","540.055519391","192.168.1.1","239.255.255.250","SSDP","441","NOTIFY * HTTP/1.1 "
"7698","540.057281681","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7699","540.361554430","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7701","540.668751215","192.168.1.49","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"7703","542.511755059","192.168.1.49","224.0.0.251","MDNS","103","Standard query 0x0023 PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"7704","542.820158089","192.168.1.34","224.0.0.251","MDNS","405","Standard query response 0x0000 PTR Google-Home-Mini-c9aba702a5ab3451e9503068da1d4368._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 c9aba702-a5ab-3451-e950-3068da1d4368.local A, cache flush 192.168.1.34"
"7707","543.741034129","192.168.1.43","224.0.0.251","MDNS","214","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
"7708","543.742259018","fe80::426:7c3a:7184:9ebb","ff02::fb","MDNS","234","Standard query 0x0000 PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Air Julia._companion-link._tcp.local PTR 50-35-10-70.1 Kalanda._sleep-proxy._udp.local OPT"
